timestep,mean_fractional_change,median_fractional_change,lower_bound_p25,upper_bound_p75,mean_cells,median_cells,n_files
50,0.0,0.0,0.0,0.0,25.912,26.0,250
100,0.0044900971119119955,0.0,0.0,0.0,26.024,26.0,250
150,0.006750638935765998,0.0,0.0,0.0,26.088,26.0,250
200,0.00962463064689342,0.0,0.0,0.028185328185328096,26.164,26.0,250
250,0.01119835599217049,0.0,0.0,0.03333333333333344,26.208,26.0,250
300,0.013897925985585336,0.0,0.0,0.03571428571428581,26.28,26.0,250
350,0.01816319794636783,0.0,0.0,0.03846153846153855,26.392,26.0,250
400,0.02082580535713793,0.0,0.0,0.040000000000000036,26.46,26.0,250
450,0.023329875999047033,0.0,0.0,0.041250000000000064,26.528,26.0,250
500,0.026116202470620877,0.013513513513513487,0.0,0.04347826086956519,26.596,26.0,250
550,0.03015467909410179,0.03279569892473122,0.0,0.04761904761904767,26.7,26.0,250
600,0.03273807978609996,0.03571428571428581,0.0,0.050000000000000044,26.768,27.0,250
650,0.03494539997798537,0.03703703703703698,0.0,0.05518018018018017,26.824,27.0,250
700,0.03799102806800705,0.03703703703703698,0.0,0.06666666666666665,26.896,27.0,250
750,0.039947140288684485,0.03846153846153855,0.0,0.07081280788177335,26.944,27.0,250
800,0.04265632775413811,0.03846153846153855,0.0,0.07407407407407418,27.016,27.0,250
850,0.044420519774012276,0.040000000000000036,0.0,0.08000000000000007,27.06,27.0,250
900,0.0455801460452498,0.040000000000000036,0.0,0.08000000000000007,27.092,27.0,250
950,0.04686332645998194,0.040000000000000036,0.0,0.08081081081081087,27.128,27.0,250
1000,0.05028503839162042,0.04083333333333339,0.0,0.08695652173913038,27.212,27.0,250
1050,0.05261617131327966,0.04166666666666674,0.0,0.09090909090909083,27.268,27.0,250
1100,0.05502191540218644,0.042572463768115965,0.0,0.09486607142857151,27.332,27.0,250
1150,0.05641665761649387,0.04347826086956519,0.0,0.09523809523809534,27.368,27.0,250
1200,0.06063330568688862,0.04653679653679654,0.030539772727272707,0.10258620689655173,27.472,27.0,250
1250,0.062005523392929855,0.04761904761904767,0.029634581105169255,0.10526315789473695,27.508,27.0,250
1300,0.06489763581034068,0.06458333333333333,0.03150201612903225,0.1071428571428572,27.584,27.0,250
1350,0.06758676907462313,0.0714285714285714,0.032258064516129004,0.11111111111111116,27.652,27.0,250
1400,0.0708812172818892,0.0714285714285714,0.03333333333333344,0.11431623931623935,27.744,27.0,250
1450,0.03378725630079894,0.03571428571428581,0.0,0.0860507246376811,26.748,27.0,250
1500,0.033497330010872656,0.03571428571428581,0.0,0.0860507246376811,26.74,27.0,250
