timestep,mean_fractional_change,median_fractional_change,p25_fractional_change,p75_fractional_change,iqr_fractional_change,n_files
50,0.0,0.0,0.0,0.0,0.0,250
100,0.0044900971119119955,0.0,0.0,0.0,0.0,250
150,0.006750638935765998,0.0,0.0,0.0,0.0,250
200,0.00962463064689342,0.0,0.0,0.028185328185328096,0.028185328185328096,250
250,0.01119835599217049,0.0,0.0,0.03333333333333344,0.03333333333333344,250
300,0.013897925985585336,0.0,0.0,0.03571428571428581,0.03571428571428581,250
350,0.01816319794636783,0.0,0.0,0.03846153846153855,0.03846153846153855,250
400,0.02082580535713793,0.0,0.0,0.040000000000000036,0.040000000000000036,250
450,0.023329875999047033,0.0,0.0,0.041250000000000064,0.041250000000000064,250
500,0.026116202470620877,0.013513513513513487,0.0,0.04347826086956519,0.04347826086956519,250
550,0.03015467909410179,0.03279569892473122,0.0,0.04761904761904767,0.04761904761904767,250
600,0.03273807978609996,0.03571428571428581,0.0,0.050000000000000044,0.050000000000000044,250
650,0.03494539997798537,0.03703703703703698,0.0,0.05518018018018017,0.05518018018018017,250
700,0.03799102806800705,0.03703703703703698,0.0,0.06666666666666665,0.06666666666666665,250
750,0.039947140288684485,0.03846153846153855,0.0,0.07081280788177335,0.07081280788177335,250
800,0.04265632775413811,0.03846153846153855,0.0,0.07407407407407418,0.07407407407407418,250
850,0.044420519774012276,0.040000000000000036,0.0,0.08000000000000007,0.08000000000000007,250
900,0.0455801460452498,0.040000000000000036,0.0,0.08000000000000007,0.08000000000000007,250
950,0.04686332645998194,0.040000000000000036,0.0,0.08081081081081087,0.08081081081081087,250
1000,0.05028503839162042,0.04083333333333339,0.0,0.08695652173913038,0.08695652173913038,250
1050,0.05261617131327966,0.04166666666666674,0.0,0.09090909090909083,0.09090909090909083,250
1100,0.05502191540218644,0.042572463768115965,0.0,0.09486607142857151,0.09486607142857151,250
1150,0.05641665761649387,0.04347826086956519,0.0,0.09523809523809534,0.09523809523809534,250
1200,0.06063330568688862,0.04653679653679654,0.030539772727272707,0.10258620689655173,0.07204643416927903,250
1250,0.062005523392929855,0.04761904761904767,0.029634581105169255,0.10526315789473695,0.07562857678956769,250
1300,0.06489763581034068,0.06458333333333333,0.03150201612903225,0.1071428571428572,0.07564084101382496,250
